dtype,tasks,tile_tokens,dim,num_transforms,variant,chunk_size
bf16,128,256,32,8,graph_lds_chunked,4
bf16,128,256,32,16,graph_lds_chunked,8
bf16,128,256,32,32,graph_lds_chunked,8
bf16,128,256,64,8,graph_global,0
bf16,128,256,64,16,graph_global,0
bf16,128,256,64,32,graph_global,0
bf16,128,256,128,8,graph_global,0
bf16,128,256,128,16,graph_global,0
bf16,128,256,128,32,graph_global,0
bf16,256,64,32,8,graph_lds_chunked,8
bf16,256,64,32,16,graph_lds_chunked,4
bf16,256,64,32,32,graph_lds_chunked,8
bf16,256,64,64,8,graph_lds,0
bf16,256,64,64,16,graph_lds_chunked,4
bf16,256,64,64,32,graph_lds_chunked,8
bf16,256,64,128,8,graph_lds_chunked,8
bf16,256,64,128,16,graph_lds_chunked,8
bf16,256,64,128,32,graph_lds_chunked,8
bf16,256,128,32,8,graph_lds_chunked,8
bf16,256,128,32,16,graph_lds_chunked,4
bf16,256,128,32,32,graph_lds_chunked,8
bf16,256,128,64,8,graph_lds_chunked,8
bf16,256,128,64,16,graph_lds_chunked,8
bf16,256,128,64,32,graph_lds_chunked,8
bf16,256,128,128,8,graph_global,0
bf16,256,128,128,16,graph_global,0
bf16,256,128,128,32,graph_lds,0
bf16,256,256,32,8,graph_lds_chunked,8
bf16,256,256,32,16,graph_lds_chunked,8
bf16,256,256,32,32,graph_lds_chunked,8
bf16,256,256,64,8,graph_global,0
bf16,256,256,64,16,graph_global,0
bf16,256,256,64,32,graph_lds,0
bf16,256,256,128,8,graph_global,0
bf16,256,256,128,16,graph_global,0
bf16,256,256,128,32,graph_global,0
